"task_id","cell_id","model","n","informative","rep","dgm_tag","brier","cal_int","cal_slope","mean_pred","obs_rate","ndiv","ebfmi"
"c3_floor_n300_ni_r029",3,"floor",300,FALSE,29,"v2_cohort_posterior_hazard",0.111175726041789,1.28239158572226,1.61933231275921,0.566403345255707,0.706666666666667,0,0.582495598806497
"c3_floor_n300_ni_r030",3,"floor",300,FALSE,30,"v2_cohort_posterior_hazard",0.092200953380939,1.36962088512326,1.78856258591721,0.567035396920875,0.693333333333333,0,0.551310801575705
"c3_floor_n300_ni_r031",3,"floor",300,FALSE,31,"v2_cohort_posterior_hazard",0.0945653436142785,1.42660898644599,1.7821212372494,0.570860814335902,0.703333333333333,0,0.590119321297346
"c3_floor_n300_ni_r032",3,"floor",300,FALSE,32,"v2_cohort_posterior_hazard",0.114967899246092,1.58263975504869,1.68752912127566,0.565453501677166,0.726666666666667,0,0.609322049631196
"c3_floor_n300_ni_r033",3,"floor",300,FALSE,33,"v2_cohort_posterior_hazard",0.0964255239273829,1.12650346949112,1.89099488863735,0.570946389828796,0.683333333333333,0,0.63860509719658
"c3_floor_n300_ni_r034",3,"floor",300,FALSE,34,"v2_cohort_posterior_hazard",0.102852815422158,1.82051576789323,2.03510829213731,0.567150147706768,0.723333333333333,0,0.588630830203688
"c3_floor_n300_ni_r035",3,"floor",300,FALSE,35,"v2_cohort_posterior_hazard",0.093723429325886,1.49154560973739,2.06936682608807,0.605700020917627,0.74,0,0.579340842969125
"c3_floor_n300_ni_r036",3,"floor",300,FALSE,36,"v2_cohort_posterior_hazard",0.104078705447843,1.37424875454647,1.58911215348212,0.608667072010862,0.753333333333333,0,0.610726626907201
"c3_floor_n300_ni_r037",3,"floor",300,FALSE,37,"v2_cohort_posterior_hazard",0.116964166899065,1.46324931928075,1.51599727228096,0.640912427236876,0.81,0,0.494573261841778
"c3_floor_n300_ni_r038",3,"floor",300,FALSE,38,"v2_cohort_posterior_hazard",0.106114902707961,1.28605507642236,1.78983931925696,0.595221992248902,0.733333333333333,0,0.556559071507858
"c3_floor_n300_ni_r039",3,"floor",300,FALSE,39,"v2_cohort_posterior_hazard",0.090377784409985,1.50486667330037,1.91241435569934,0.603281182041134,0.736666666666667,0,0.557939489346293
"c3_floor_n300_ni_r040",3,"floor",300,FALSE,40,"v2_cohort_posterior_hazard",0.104504242675257,1.47932914417048,1.84152835896576,0.537644826386325,0.676666666666667,0,0.558465797533047
"c3_floor_n300_ni_r041",3,"floor",300,FALSE,41,"v2_cohort_posterior_hazard",0.113085036295326,1.34568439883217,1.67293331356297,0.572750559224095,0.716666666666667,0,0.557235188641494
"c3_floor_n300_ni_r042",3,"floor",300,FALSE,42,"v2_cohort_posterior_hazard",0.112779406064931,1.31107350480835,1.67377383391675,0.58705786763593,0.733333333333333,0,0.69925822690872
"c3_floor_n300_ni_r043",3,"floor",300,FALSE,43,"v2_cohort_posterior_hazard",0.108796571076518,1.53536907224682,2.02939603102985,0.542770528761987,0.683333333333333,0,0.548036338746916
"c3_floor_n300_ni_r044",3,"floor",300,FALSE,44,"v2_cohort_posterior_hazard",0.118235216442542,1.29051965770261,1.45207538636934,0.585752849526098,0.736666666666667,0,0.593513945577831
"c3_floor_n300_ni_r045",3,"floor",300,FALSE,45,"v2_cohort_posterior_hazard",0.120060838045151,1.2056408671641,1.39386197864694,0.545464055723637,0.686666666666667,0,0.63055767985451
"c3_floor_n300_ni_r046",3,"floor",300,FALSE,46,"v2_cohort_posterior_hazard",0.111054292863743,1.41545429245911,1.65377510400458,0.58088812068538,0.723333333333333,0,0.615841374487199
"c3_floor_n300_ni_r047",3,"floor",300,FALSE,47,"v2_cohort_posterior_hazard",0.0983310120900506,1.5177810665281,1.80236362014037,0.578707306252196,0.723333333333333,0,0.59399838467268
"c3_floor_n300_ni_r048",3,"floor",300,FALSE,48,"v2_cohort_posterior_hazard",0.0923745070372062,1.51526115761519,2.23675857303872,0.587979333023979,0.72,0,0.576332269001566
"c3_floor_n300_ni_r049",3,"floor",300,FALSE,49,"v2_cohort_posterior_hazard",0.0983023120396718,1.32888103536329,1.85802306828781,0.559754693829487,0.69,0,0.623512315200185
